Adopsjonsbevilling	Adoption order
Adopsjonsbevis	Adoption certificate
Adoposjonspenger	Parental benefit on adoption
Akkordarbeider	Piece worker, employee on piece rate pay
Akkordlønn	Piece rate pay, payment by results
Akkordsystem	Piece rate pay system
Akkordtillegg	Pieceworker’s bonus
Aktivitetsplan	Activity plan 
Aktivitetsplikt	Duty to act 
Alderspensjon	Retirement pension
Arbeidsavklaringspenger  	Work assessment allowance
Arbeidsevne	Ability to work
Arbeidsevnevurdering	Work ability assessment
Arbeidsgiver- og arbeidstakerregisteret (Aa-registeret)	The State Register of Employers and Employees (the Aa Register)
Arbeidsgiveravgift	Employer’s national insurance contribution
Arbeidsgiverperiode	Employer’s obligation period to pay sickness benefit
Arbeidsmarkedsloven	Act of 10 December 2004 no. 76 relating to Labour Market Services (Labour Market Act)
Arbeidsmiljøloven	Working Environment Act
Arbeidstillatelse	Work permit
Arbeidstilsynet	Norwegian Labour Inspection Authority
Arbeidsufør	Occupationally disabled
Avklaring	Assessment
Avklaringstiltak	Assessment measure
Avtalefestet pensjon (AFP) 	Contractual pension
Avtalefestet pensjon (AFP) i offentlig sektor	Contractual pension in the public sector
Avtalefestet pensjon (AFP) i offentlig sektor, livsvarig	Lifelong contractual pension in the public sector
Avtalefestet pensjon (AFP) i privat sektor	Contractual pension in the private sector
Avtalegiro	Direct debit

Effektiviseringstiltak	Rationalisation schemes
Egenaktivitet	Individual initiative 
Egenerklæring	Personal declaration 
Egen næring / virksomhet	Self-employment 
Egenbetaling	Patient co-payment
Egenmelding	Self-certification
Ekstra småbarnstillegg	Extra infant supplementfor single parents
Ekstrajobb  	Additional employment 
Ektefellebidrag	Alimony
Endring av bidrag	Reassessment of support
Engangsbeløp	Lump sum
Engangsstønad	Lump sum grant
Engangsstønad ved adopsjon	Lump sum grant at adoption
Engangsutgifter	Non-recurring expenses
Engasjement	Temporary employment contract/limited contract
Enkeltvedtak	Individual letter of decision
Enkeltpersonsforetak	Sole proprietorship, sole proprietor company
Enslig forsørger	Single parent 
Erstatning ved yrkesskade	Occupational injury compensation
Etterbetaling	Back payment
Ettergivelse	Debt: waiver, remission, write-off, cancellation
Etterlattepensjon 	Survivor’s pension 
Etterlønn	Pay after termination of employment
Etteroppgjør	Final annual settlement
Evaluering	Evaluation, assessment
EØS	EEA, European Economic Area
EØS-borger	EEA citizen/citizen of an EEA member state

Helge- og høytidsdager	Public holidays 
Helsefarlig arbeid	Hazardous work 
Helsemessige årsaker 	Health reasons 
Helsekort	Healt card 
Helsestasjon 	Parent and child clinic
Helsetrygdekort	European helth insurance card 
Heltidspermittert 	(Totally) laid off 
Helårsdrift	Year-round operation 
Hjelpemidler	Assistive technology
Hjelpestønad	Assistance allowance
Hjelpetiltak	Assistance programs 
Hjemmekontor	Work at home, home office 
Honnørkort 	Concessionary card 
Honnørbillett	Concessionary ticket/ fare
Hovedforsørger 	Main provider 
Hovedlønnstabell	Main pay table 
Hovedsammenslutning	Union Confederation 
Hovedtariffavtalen	Basic Collective Agreement 
Høringsdokument	Concultative document 

Kalenderår	Calendar year
Kapitalinntekt	Invest income 
Kjøreliste	Driving log
Klage 	Appeal / complaint 
Klageadgang	Right to appeal
Klagerettigheter	Appeals (som tittel), (your right to) appeal
Klient, bruker	User
Kommunal 	Municipal
Kommune 	Local authority (etat), municipality (geografisk)
Kommuneskatt	Municipal tax
Kompensasjonstillegg	Compensation supplement 
Kompetanse	Knowlegde, qualifications, expertise 
Kompetanseheving 	Training, skill developement, upgrade qualifications 
Kompetansevurdering	Skills audit 
Kongelig resolusjon	Royal decree
Konkurs	Bankrupt 
Konsumprisindeks 	Consumer price index
Kontaktperson	Contact person
Kontantstøtte	Cash-for-Care Benefit (evt. Child care benefit)
Kontrollmyndighet 	Inspection authority
Korrekturlesing	Proof reading
Korttidskontrakt 	Short-term contacts
Kortidsytelser	Short-term benefits
Kost og losji 	Board and lodging 
Kostpenger/ kostgodtgjørelse	Subsistence allowance 
Kravskjema	Claim form
Kronetillegg 	Flat increase
Kunnskapsdepartementet	Ministry of Education and Research 
Kvalifiseringsprogram	Qualification Programme 
Kvalifiseringsstønad 	Qualification benefit 
Kvalifiseringstiltak 	Qualification measures, training schemes 
Kvitteringskort	Receipt card 

Nattillegg	Night allowance 
Nedsatt	Impaired, reduce 
Nedsatt arbeidsevne 	Impaired work capability
Nettjeneste	Online service 
Normal arbeidstid	Normal working hours 
Notat	Memorandum 
NOU	Norwegian Offical Report 
Næringsoppgave	Income statement
Næringsvirksomhet 	Commercial and industrial undertakings
Nærmeste overordnede administrative ledd	Immediate superior administrative unit (enhet), immediate superior (person)
Nødhjelp 	Emergency assistance


Realkompetanse 	Accumulated skills
Reallønn	Real wage
Registreringsbevis	Registration certificate
Reell arbeidssøker 	Genuine job seeker 
Redusert arbeidstid 	Reduced working hours 
Regelverk	Rules, set of rules, legislation
Registrering av kjøretøy	Registration of vehicles 
Registert partnerskap	Registreted partnership
Reisetilskudd	Travel supplement 
Resultatregnskap	Income statement
Rekrutteringsavtale	Recruitment agreement, recruitment contract 
Rentefradrag	Tax-deductible interest 
Ressurssentre for ulike bransjer	Resource centres 
Rett til å utøve sitt yrke	Right to practise one’s profession 
Revurdering	Reassessment
Riktig oversettelse	Correct translation
Rundskriv	Circular 
Rådgivende overlege	Medical advisor
Rådgivningstjeneste	Advisory service

Ubeleilig arbeidstid	Unsocial working hours 
UDI (Utlendings-direktoratet)	Immigration Office
Ufør  	Disabled 
Uføretrygd	Disability benefit
Uførhet	Disability
Ulykkesforsikring	Accident insurance 
Ulønnet arbeid	Unpaid work 
Underholdsbidrag	Maintenance support
Underholdskostnad	Maintenance cost
Underholdsplikt 	Duty to Maintain 
Ungdom som forlater skolen 	Graduate (ferdig med skolen), drop out (fullfører ikke)
Utbetalingsanvisning	Giro payment
Utbetalingsdato	Payment date
Utbetaling av dagpenger	Payment of unemployment benefit
Utdanningsstønad 	Education benefit 
Utenlandske arbeidere	Foreign workers
Utestenging 	Exclusion 
Utleie av arbeidskraft	Hiring-out of labour  
Utleie av vikarer	Hiring-out of temporary replacement 
Utleieservice for arbeidskraft	Labour hiring services 
Utlendingsdirektoratet	Norwegian Directorate of Immigrantion
Utredning	Report, study
Utsatt pensjon	Deferred pension 
Utsatte grupper (på arbeidsmarkedet)	Group with higher risk of unemployment 
Utstede, utsendt av 	Issue, issued by
Uttaksgrad	Withdrawal rate
Utvidet barnetrygd	Extended child benefit
Utvidet tillegg	Extended benefit
Utvise	Expel (skole), deport (mennesker)

Økonomisk sosialhjelp 	Financial assistance 
Økonomisk sosialhjelp i en nødssituasjon	Financial assistance in an emergency situation 
Øyeblikkelig hjelp	Immediate medical help

Barnebidrag 	Child support, child maintenance
Barnepensjon	Children’s pension
Barnepensjonister	Child pensioners
Barnetillegg	Child supplement
Barnetilsyn	Child Care benefit for working single parents
Barnetrygd (ordinær)	Child benefit
Barnetrygd (utvidet)	Extended child benefit
Barnetrygdordningen	Child Benefit Scheme
Barneverninstutisjon	Child care institution
Bedriftsundersøkelse	Enterprise survey
Begynnerlønn	Starting pay
Behandle (en sak)	Process a case
Behandlingstid	Processing time
Beholdning av ledige stillinger	Total vacancies
Bestride	Dispute
Betalingsavtale	Payment arrangement
Betalt ferie	Paid holiday
Betingelser for å få dagpenger	Conditions for/entitlement to unemployment benefit
Betvile	Doubt
Bevilling	Licence
Bidragsevne	Ability to pay child support
Bidragsforskudd	Advance payments of child support
Bidragsmottaker	Child support recipient
Bidragspliktig	Child support debtor
Bortfall av inntekt	Loss of income
Bortfallsregel	Lapse of benefit rule
Bostøtte	Housing allowance
Bostyrer	Administrator
Bransje	Trade, industry
Bransjeavtale	Industry-wide agreement
Brosjyre	Broschure, leaflet
Brukergrupper 	User groups
Brukermedvirkning	User involvement
Byggebransjen	Construction trade

Fagarbeider	Skilled worker
Fagforening 	Trade union
Fagforeningavgift	Trade union dues
Fagprøve	Trade examination
Faktura	Invoice
Farskap	Paternity
Fast ansettelse	Permanent employment
Fast bosted	Permanent residence
Faste lønnstrekk	Regular supplements
Faste trekk i bank	Fixed deductions from bank accounts
Fedrekvote (fars permisjon)	Paternal quota (paternity leave)
Feilutbetaling / for mye utbetalt 	Incorrect payment (wrong amount) 
Fellesperioden (foreldrepermisjon)	Shared period (of the parental leave)
Ferie etter tariff	Doliday determined by a collective agreement 
Ferie med lønn	Paid holiday, vacation
Feriejobb	Holiday job, vacation job
Ferielønnstillegg	Holiday supplement
Feriepenger 	Holiday pay
Finansdepartementet	Ministry of finance
Finansiering	Funding, financing
Finnmarkstillegg	Finnmark supplement
Fiskeri- og kystdepartementet	Ministry of Trade, Industry and Fisheries
Fjernarbeid	Teleworking
Fjernundervisning	Distance education
Fleksibel arbeidstid	Flexible work hours
Flerbarnsuker	Multiple-child weeks
Flyktning	Refugee
Flytting	Relocation
Folkehøyskole	Norwegian folk high school
Folkeregisteret	   National Population Register

Folketrygd	National Insurance
Folketrygdens grunnbeløp	National insurance basic amount
Folketrygdloven	National Insurance Act
Foreldrepenger	Parental benefit
Foreldrepenger til far	Paternity benefit
Foreldrepenger til mor	Maternity benefit
Foreldrepermisjon	Parental leave
Foretak	Enterprise
Foretakregistreret	Register of Business Enterprises
Forhåndsvarsel	Notice 
Forkjøpsrett	Preemtive right
Forlenget ventetid 	Extended waiting period 
Forskrift	Regulations
Forskudd	Advance
Forskruttere	Pay in advance
Forskruttering av ytelse	Advance payment of benefit
Forskuddsskatt (for enkeltpersonforetak) 	Advance tax (for sole proprietorships)
Fravær på grunn av sykdom	Abscence due to illness 
Frikort	Exemption card 
Friskmelding til arbeidsformidling 	Fit for employment scheme
Fullmakt	Power of attorney
Førsteside	Cover sheet

I tilfelle sykdom 	In the event of illness
Immigrasjon 	Immigration
Incentiv	Incentive 
Indeksregulert lønn	Indexed wage
Industriarbeider	Indistrial worker 
Informasjonsskranke 	Information desk 
Inkluderende arbeidsliv	Inclusive workplace 
Inkluderingstilskudd	Inclusive subsidy (for employers)
Innenriks	Domestics 
Innføre	Introduce, import 
Innkalling	Notice of a meeting 
Innkrevingssentralen for bidrag og tilbakebetalingskrav	The Collection Agency for Child Support and Overpaid Benefits
Innreise	Entry
Innreisetillatelse 	Entry permit 
Innsats	Effort
Innskrenkninger	Restrictions 
Innskriving 	Sign in, registration, enrolment 
Innskudd	Deposit 
Inntaksdato	Date of admission 
Inntektsavhengig pensjon	Income-related pension 
Inntekstevne	Earning ability
Inntekstgaranti	Income guarantee 
Inntektsmelding	Income report
Inntektsopplysninger	Information about income 
Inntektsskatt 	Income tax
Innvilget	Granted, approve 
Integrasjon 	Integration 
Integrere	Integrate 
Intern informasjon	Internal information
Intern samordning 	Internal coordination
Internasjonale stillinger	International post, international posision 
Invaliditet	Incapacity to work, disability

Lagmannsretten	Court of appeal
Langtidsledige	Long-term unemployed 
Langtidsprognose 	Long-term forecast
Langtidsytelse	Long-term benefit
Lederstillinger 	Senior positions, management positions 
Ledig plass	Vacancy, job opening 
Ledige stillinger 	Vacancies / vacant positions  
Legat	Endowment grant, bequest
Legeerklæring 	Medical certificate 
Levevilkår	Living conditions
Likestilling 	Gender equality (kjønn), equal opportunities (muligheter), equal rights (rettigheter)
Lokalavdeling	Local branch
Lov	Act
Lov om barnetrygd	Child Benefit Act
Lov om kontantstøtte	Cash-for-care benefit Act
Lovbestemt ferie 	Statutory holiday 
Lovforslag	Bill
Lovpålagt	Required by law
Lærling 	Apprentice 
Lærlingkontrakt	Apprentice contract 
Lærlingplass	Apprenticeship
Lærlingutdanning	Apprenticeship
Lønnet arbeid 	Paid work 
Lønnsendring	Wage adjustment
Lønnsforhøyelse	Pay rise 
Lønnsplikt 	Obligation to pay wages 
Lønnsgaranti	Wage guarantee
Lønnsgarantiordningen	Wage guaranteescheme 
Lønnskrav	Wage claim 
Lønnsregulering	Pay adjustment
Lønnsspenn	Pay range 
Lønnssystem	Pay system 
Lønnstabell	Pay system 
Lønnstilskudd for arbeidsgivere	Subsidies to employers 
Lønnstrinn	Pay grade, pay level 
Lønnsvilkår	Pay conditions 

Oblikatorisk forsikring	Compulsory insurance 
Offentlig etat	Public organisation 
Offentlig tjeneste	Public service
Offentlig tjenestemann	Public servant 
Offentlig utlyst stilling 	Externally advertised vacancy
Offentlige verv 	Public office 
Offensiell meddelse 	Official notice 
Offensiell oversettelse 	Official translation 
Organisering av arbeidet 	Reorganization of work 
Omsorg (daglig)	Day-to-day care
Omsorgsansvar 	Responsibility for, caring for 
Omsorgsarbeid	Care work 
Omsorgsdager 	Care days
Omsorgsovertakelse	Care of the child was assumed, assume care of the child 
Omsorgspenger	Care Benefit
Omsorgsopoeng	Points for care work
Omsorgsstønad	Carer’s allowance
Omstilling	Restructuring, review 
Omstillingsstønad	Adjustment benefit 
Oppfølging	Follow-up, monitoring 
Oppfølgingsordning	Follow-up scheme
Oppfølgingsplan	Follow-up
Oppholde deg i utlandet	If you plan to stand abroad
