norwegian;english;llm_suggestion
Adopsjonsbevilling;Adoption order;Adoption license
Adoposjonspenger;Parental benefit on adoption;Adoption money
AFP - avtalefestet pensjon;Contractual pension;AFP - agreed pension
Akkordarbeider;Piece worker, employee on piece rate pay;Contract worker
Akkordsystem;Piece rate pay system;Chord system
Akkordtillegg;Pieceworker's bonus;Supplementary payment
Aktivitetsplikt;Duty to act;Activity obligation
Alderspensjon;Retirement pension;Old-age pension
Arbeidsevne;Ability to work;Work ability
Arbeidsgiveravgift;Employer's national insurance contribution;Employer's contribution
Arbeidsgiverperiode;Employer's obligation period to pay sickness benefit;Employer period
Arbeidsmarkedsloven;Act of 10 December 2004 no. 76 relating to Labour Market Services (Labour Market Act);Labour Market Act
Arbeidstilsynet;Norwegian Labour Inspection Authority;The Labour Inspection Authority
Arbeidsufør;Occupationally disabled;Unemployed
Avklaring;Assessment;Clarification
Avklaringstiltak;Assessment measure;Clarification measures
Avtalefestet pensjon (AFP) i offentlig sektor;Contractual pension in the public sector;Agreed pension (AFP) in the public sector
Avtalefestet pensjon (AFP) i privat sektor;Contractual pension in the private sector;Agreement-based pension (AFP) in the private sector
Effektiviseringstiltak;Rationalisation schemes;Efficiency measures
Egenaktivitet;Individual initiative;Self-activity
Egenerklæring;Personal declaration;Self-declaration
Egen næring / virksomhet;Self-employment;Own business / enterprise
Egenbetaling;Patient co-payment;Co-payment
Egenetablerer;Business start-up;Self-establisher
Egenmelding;Self-certification;Self-declaration
Ekstra småbarnstillegg;Extra infant supplementfor single parents;Extra small child allowance
Ekstrajobb;Additional employment;Side job
Endring av bidrag;Reassessment of support;Change of contribution
Engangsstønad;Lump sum grant;One-time benefit
Engangsstønad ved adopsjon;Lump sum grant at adoption;One-time benefit for adoption
Engasjement;Temporary employment contract/limited contract;Engagement
Enkeltvedtak;Individual letter of decision;Individual decision
Erstatning ved yrkesskade;Occupational injury compensation;Compensation for occupational injury
Etterbetaling;Back payment;Post-payment
Ettergivelse;Debt: waiver, remission, write-off, cancellation;Concession
Etteroppgjør;Final annual settlement;Reconciliation
Helge- og høytidsdager;Public holidays;Holiday and festive days
Helsestasjon;Parent and child clinic;Health station
Helsetrygdekort;European helth insurance card;Health insurance card
Hjelpemidler;Assistive technology;Assistive devices
Hjelpetiltak;Assistance programs;Support measures
Honnørkort;Concessionary card;Honorary card
Honnørbillett;Concessionary ticket/ fare;Honorary ticket
Hovedsammenslutning;Union Confederation;Main association
Hovedtariffavtalen;Basic Collective Agreement;Main tariff agreement
Klage;Appeal / complaint;Complaint
Klagerettigheter;Appeals (som tittel), (your right to) appeal;Right to complain
Kongelig resolusjon;Royal decree;Royal resolution
Kontantstøtte;Cash-for-Care Benefit (evt. Child care benefit);Cash benefit
Kontantstøtte;Cash-for-Care Benefit Scheme(evt. Child care benefit Scheme);Cash benefit
Krav;Claim;Requirement
Kravskjema;Claim form;Requirement form
Kronetillegg;Flat increase;Crown supplement
Kunnskapsdepartementet;Ministry of Education and Research;Ministry of Education
Kvalifiseringsprogram;Qualification Programme;Qualification program
KvalifiseringsstÃ¸nad;Qualification benefit;Qualification support
Kvalifisert arbeidskraft;Skilled labour;Qualified workforce
Nattillegg;Night allowance;Night supplement
NOU;Norwegian Offical Report;Official Norwegian Report
Næringsoppgave;Income statement;Business assignment
Næringsvirksomhet;Commercial and industrial undertakings;Business activity
Nærmeste overordnede administrative ledd;Immediate superior administrative unit (enhet), immediate superior (person);Nearest superior administrative level
Realkompetanse;Accumulated skills;Real competence
Regelverk;Rules, set of rules, legislation;Regulations
Reise- og oppholdsdokumenter;Travel and subsistion benefit;Travel and accommodation documents
Reisetilskudd;Travel supplement;Travel allowance
Rentefradrag;Tax-deductible interest;Interest deduction
Rådgivende overlege;Medical advisor;Consultant physician
Ubeleilig arbeidstid;Unsocial working hours;Inconvenient working hours
Uføretrygd;Disability benefit;Disability pension
Underholdsbidrag;Maintenance support;Maintenance contribution
Underholdsplikt;Duty to Maintain;Maintenance obligation
UtdanningsstÃ¸nad;Education benefit;Education support
Utvidet tillegg;Extended benefit;Extended supplement
Økonomisk sosialhjelp;Financial assistance;Economic social assistance
Økonomisk sosialhjelp i en nødssituasjon;Financial assistance in an emergency situation;Economic social assistance in an emergency situation
Barnepensjon;Children`s pension;Child pension
Barnetillegg;Child supplement;Child allowance
Barnetrygd (ordinær);Child benefit;Child benefit (ordinary)
Barnetrygd (utvidet);Extended child benefit;Child benefit (extended)
Barneverninstutisjon;Child care institution;Child welfare institution
Bidragsevne;Ability to pay child support;Ability to contribute
Bidragsforskudd;Advance payments of child support;Contribution advance
Bidragsmottaker;Child support recipient;Grant recipient
Bidragspliktig;Child support debtor;Contribution liable
Bortfallsregel;Lapse of benefit rule;Rule of exclusion
Bosted;Resident, place of residence;Residence
Bostyrer;Administrator;Trustee
Brukermedvirkning;User involvement;User participation
Byggebransjen;Construction trade;Construction industry
Fagprøve;Trade examination;Trade test
Faste trekk i bank;Fixed deductions from bank accounts;Fixed features in banking
Fellesperioden (foreldrepermisjon);Shared period (of the parental leave);Common period (parental leave)
Foreldrepenger til far;Paternity benefit;Parental benefits for father
Foreldrepenger til mor;Maternity benefit;Parental benefits to mother
Forkjøpsrett;Preemtive right;Right of first refusal
Forlenget ventetid;Extended waiting period;Extended waiting time
Friskmelding til arbeidsformidling (ingen offisiell oversettelse);If all options to get back to work have been attempted, you may receive sickness benefit for up to 12 weeks, while you are looking for a new job;"""Medical clearance for job placement (no official translation)"""
Førsteside;Cover sheet;Front page
I tilfelle sykdom;In the event of illness;In case of illness
Inkluderende arbeidsliv;Inclusive workplace;Inclusive working life
Inkluderingstilskudd;Inclusive subsidy (for employers);Inclusion grant
Legevakt;Accident and emergency unit;Emergency room
Likestilling;Gender equality (kjønn), equal opportunities (muligheter), equal rights (rettigheter);Equality
Lov om kontantstøtte;Cash-for-care benefit Act;Law on cash support
Lønnsplikt;Obligation to pay wages;"""Wage obligation"""
Lønnsgaranti;Guarantee  pay;Wage guarantee
Lønnsgarantiordningen;Wage guaranteescheme;Wage guarantee scheme
Lønnskrav;Wage claim;Salary claim
Omsorgsovertakelse;Care of the child was assumed, assume care of the child;Care takeover
Omsorgsopoeng;Points for care work;Care points
Omstilling;Restructuring, review;Transition
Omstillingsstønad;Adjustment benefit;Transition support
Opptjeningsperioden;Qualification period;Earning period
Opptjeningstid;Qualifying period;Earning period
Opptjene rettigheter;Accumulated rights;Accrued rights
Samvær;Visiting arrangements;Cooperation
Samværsavtale;Visiting arrangements;Co-parenting agreement
Samværsfradrag;Deduction for time spent with the child;Co-habitation deduction
Samværsrett;Visiting rights;Right of access
Skatteetaten;The Norwegian Tax Administration;The Tax Administration
Skillsmissebeviling (om papiret);Divorce sertificate;Skill certificate (on the paper)
Skillsmissebevilling (om prosessen);(Grant a) divorce order;Skillsmissebevilling (about the process)
Sluttvederlag;Severance pay;Final compensation
Sluttvederlagordningen;Severance Pay Scheme;Termination compensation scheme
Sluttårsak;Reason for termination of employment;Final cause
Småbarnstillegg;Infant supplement;Child benefit supplement
Sosialkontor;Social welfare office;Social services office
Statens helsetilsyn;Norwegian Board of Health Supervision;The Norwegian Health Authority
